OrderID,OrderDate,CustomerID,City,Region,Channel,Category,Product,Quantity,UnitPrice,Revenue,ReturnFlag,DeliveryDays,Rating
59,2024-03-24,1862,Hyderabad,West,Other,Sports,Product29,3,2235,6705,No,6,2
60,2024-02-08,2366,Hyderabad,NE,Mobile App,Home,Product67,4,4684,18736,No,4,1
61,2024-12-27,2277,Bengaluru,East,Other,Beauty,Product98,2,738,1476,No,4,1
62,2024-06-26,1852,Delhi,NE,Mobile App,Beauty,Product6,3,545,1635,No,2,4
63,2024-06-12,1532,Kolkata,South,Website,Sports,Product77,3,4644,13932,No,3,5
64,2024-05-18,2280,Kolkata,East,Social,Beauty,Product43,5,918,4590,No,1,4
65,2024-04-08,2908,Kolkata,East,Social,Electronics,Product8,5,4326,21630,No,4,2
66,2024-12-03,1810,Pune,North,Other,Electronics,Product16,1,3028,3028,No,6,3
67,2024-10-27,1309,Mumbai,South,Other,Books,Product29,2,2377,4754,No,7,4
68,2024-07-18,1294,Pune,South,Other,Beauty,Product79,3,4662,13986,No,7,1
69,2024-04-23,1315,Delhi,West,Mobile App,Electronics,Product67,4,1131,4524,No,5,3
70,2024-09-02,2590,Kolkata,NE,Other,Electronics,Product2,4,3588,14352,No,3,2
71,2024-01-02,1939,Pune,East,Website,Home,Product52,1,4405,4405,No,3,2
72,2024-08-19,2140,Delhi,West,Mobile App,Books,Product78,2,264,528,No,4,1
73,2024-03-10,1600,Bengaluru,NE,Mobile App,Books,Product15,2,714,1428,No,3,4
74,2024-08-06,1161,Hyderabad,South,Social,Fashion,Product87,1,342,342,No,3,5
75,2024-09-21,2466,Hyderabad,South,Social,Home,Product87,5,1520,7600,No,2,5
76,2024-09-02,1776,Mumbai,South,Other,Fashion,Product91,3,2790,8370,No,5,2
77,2024-01-01,2553,Bengaluru,East,Other,Electronics,Product2,5,3823,19115,Yes,7,5
78,2024-04-21,1333,Hyderabad,South,Website,Fashion,Product39,2,550,1100,No,3,5
79,2024-10-28,1892,Hyderabad,South,Website,Beauty,Product54,3,4966,14898,No,4,3
80,2024-10-28,2394,Pune,North,Other,Fashion,Product15,3,1912,5736,No,4,3
81,2024-05-01,2727,Kolkata,West,Mobile App,Home,Product82,1,645,645,No,1,2
82,2024-06-07,2253,Mumbai,North,Website,Home,Product82,3,811,2433,No,5,4
83,2024-03-20,1774,Bengaluru,NE,Website,Books,Product62,4,1084,4336,No,4,3
84,2024-08-22,1005,Mumbai,East,Other,Sports,Product80,2,1271,2542,No,5,5
85,2024-02-04,2827,Bengaluru,North,Mobile App,Sports,Product56,5,2437,12185,No,2,4
86,2024-01-08,1712,Bengaluru,NE,Social,Sports,Product92,5,3497,17485,Yes,7,3
87,2024-09-10,1160,Hyderabad,East,Other,Books,Product62,5,1435,7175,No,3,4
88,2024-06-07,1373,Hyderabad,South,Other,Books,Product44,4,3336,13344,No,3,1
89,2024-10-09,2380,Bengaluru,North,Mobile App,Home,Product37,4,4304,17216,No,7,3
90,2024-07-25,2480,Pune,East,Mobile App,Beauty,Product59,3,3533,10599,No,1,2
91,2024-03-04,1006,Bengaluru,South,Website,Fashion,Product25,2,1919,3838,Yes,2,5
92,2024-12-03,1931,Mumbai,North,Social,Home,Product8,5,1360,6800,No,2,5
93,2024-10-01,1342,Kolkata,East,Other,Fashion,Product94,4,1377,5508,No,3,2
94,2024-09-17,1073,Kolkata,East,Mobile App,Sports,Product8,3,2856,8568,No,2,2
95,2024-08-13,2910,Bengaluru,North,Other,Electronics,Product99,2,3592,7184,No,4,1
96,2024-08-13,2286,Delhi,West,Mobile App,Fashion,Product4,5,1308,6540,No,1,3
97,2024-04-22,1904,Kolkata,NE,Social,Sports,Product41,2,3129,6258,No,6,1
98,2024-11-02,2012,Hyderabad,West,Social,Electronics,Product6,2,2350,4700,Yes,3,5
99,2024-11-16,2837,Delhi,NE,Other,Electronics,Product63,5,3159,15795,No,5,3
100,2024-06-24,1000,Pune,East,Other,Beauty,Product72,5,1578,7890,No,5,3
101,2024-06-14,1206,Kolkata,East,Website,Beauty,Product8,2,2111,4222,No,1,5
102,2024-02-05,1024,Hyderabad,NE,Other,Beauty,Product36,3,307,921,Yes,4,5
103,2024-01-09,2842,Bengaluru,East,Website,Electronics,Product77,4,1479,5916,No,7,5
104,2024-05-14,1577,Bengaluru,NE,Mobile App,Fashion,Product29,2,1668,3336,Yes,4,5
105,2024-07-08,1347,Bengaluru,North,Website,Electronics,Product12,5,1113,5565,No,1,4
106,2024-11-03,2147,Kolkata,North,Website,Home,Product97,4,993,3972,Yes,7,5
107,2024-09-15,1499,Pune,North,Other,Beauty,Product6,3,2375,7125,No,6,2
108,2024-09-25,1810,Hyderabad,South,Other,Fashion,Product97,5,1117,5585,No,3,2
109,2024-04-27,2897,Kolkata,South,Social,Fashion,Product24,3,3665,10995,No,1,3
110,2024-01-27,1759,Hyderabad,East,Website,Home,Product47,2,601,1202,No,3,5
111,2024-08-04,1673,Bengaluru,West,Other,Fashion,Product89,1,1088,1088,Yes,7,1
112,2024-04-10,1426,Hyderabad,East,Website,Electronics,Product59,5,3205,16025,No,6,3
113,2024-08-12,1228,Hyderabad,East,Website,Books,Product76,5,1986,9930,No,3,3
114,2024-10-24,2838,Kolkata,West,Other,Fashion,Product6,3,1640,4920,No,7,3
115,2024-04-05,2941,Hyderabad,West,Website,Books,Product38,5,3263,16315,Yes,6,5
116,2024-05-23,2681,Hyderabad,East,Other,Electronics,Product21,3,1212,3636,No,1,3
117,2024-11-23,2513,Pune,South,Mobile App,Sports,Product25,4,868,3472,No,6,1
118,2024-06-15,1256,Bengaluru,South,Website,Fashion,Product6,2,1551,3102,No,6,2
119,2024-06-03,1690,Pune,South,Website,Electronics,Product67,4,696,2784,No,3,3
120,2024-11-16,2778,Bengaluru,North,Mobile App,Sports,Product4,3,722,2166,No,2,5
121,2024-08-24,2476,Hyderabad,NE,Social,Electronics,Product22,1,595,595,No,1,2
122,2024-12-14,1961,Kolkata,West,Social,Electronics,Product95,5,3547,17735,No,6,1
123,2024-01-09,1838,Delhi,West,Mobile App,Books,Product47,4,1473,5892,No,3,5
124,2024-11-03,1404,Delhi,NE,Website,Books,Product76,3,2758,8274,No,4,3
125,2024-08-05,2135,Delhi,East,Website,Books,Product6,4,2243,8972,No,6,3
126,2024-11-11,2852,Pune,East,Website,Sports,Product22,2,2592,5184,No,6,2
127,2024-03-07,2258,Mumbai,East,Other,Sports,Product17,3,2583,7749,No,1,3
128,2024-04-17,1000,Bengaluru,West,Mobile App,Books,Product29,1,2474,2474,No,3,4
129,2024-04-28,1364,Delhi,NE,Website,Books,Product8,1,2642,2642,No,6,3
130,2024-06-27,2809,Mumbai,NE,Other,Beauty,Product84,3,4140,12420,No,7,1
131,2024-07-17,2893,Mumbai,NE,Mobile App,Electronics,Product87,4,2788,11152,No,4,2
132,2024-04-23,1207,Delhi,NE,Mobile App,Home,Product25,5,2943,14715,No,1,5
133,2024-02-24,1891,Bengaluru,East,Website,Books,Product97,1,309,309,No,2,4
134,2024-01-20,2802,Kolkata,West,Mobile App,Home,Product49,3,4109,12327,No,4,2
135,2024-04-11,2904,Mumbai,South,Website,Electronics,Product92,4,4079,16316,No,5,3
136,2024-10-06,1144,Mumbai,West,Social,Electronics,Product44,3,2860,8580,No,4,2
137,2024-02-26,1711,Hyderabad,North,Website,Electronics,Product80,3,4792,14376,No,5,1
138,2024-01-23,2532,Bengaluru,South,Mobile App,Beauty,Product100,1,2477,2477,No,2,5
139,2024-04-16,1542,Hyderabad,East,Other,Sports,Product3,5,4426,22130,No,4,3
140,2024-06-09,1436,Bengaluru,West,Mobile App,Sports,Product61,4,3459,13836,No,3,4
141,2024-01-10,2045,Bengaluru,West,Mobile App,Books,Product90,2,1803,3606,Yes,3,1
142,2024-06-06,1744,Kolkata,West,Website,Fashion,Product10,1,1265,1265,No,1,3
143,2024-09-04,1895,Pune,East,Other,Home,Product4,1,1724,1724,No,7,4
144,2024-08-06,2917,Delhi,East,Website,Electronics,Product89,3,1302,3906,No,2,1
145,2024-02-13,1479,Kolkata,West,Mobile App,Home,Product8,1,3164,3164,No,2,2
146,2024-10-03,1921,Pune,NE,Social,Home,Product36,4,4754,19016,No,1,1
147,2024-06-12,2835,Mumbai,North,Mobile App,Home,Product10,1,2567,2567,No,4,5
148,2024-11-18,1493,Bengaluru,West,Mobile App,Beauty,Product13,3,3881,11643,Yes,2,2
149,2024-11-17,1938,Pune,West,Social,Electronics,Product100,4,4072,16288,No,1,2
150,2024-08-23,1749,Kolkata,South,Social,Home,Product42,5,2513,12565,No,6,5
151,2024-08-23,2571,Hyderabad,North,Other,Books,Product62,3,511,1533,No,2,1
152,2024-03-26,2111,Pune,West,Other,Beauty,Product19,3,4585,13755,No,5,2
153,2024-05-16,2119,Hyderabad,East,Social,Sports,Product73,2,2019,4038,Yes,6,3
154,2024-11-12,1829,Kolkata,North,Social,Sports,Product65,3,1111,3333,No,5,2
155,2024-10-11,1838,Kolkata,North,Social,Sports,Product85,5,3583,17915,No,6,1
156,2024-09-28,2076,Mumbai,North,Other,Books,Product74,4,1413,5652,No,3,5
157,2024-01-08,1126,Delhi,South,Website,Sports,Product48,3,1736,5208,No,2,1
158,2024-12-12,1805,Kolkata,South,Mobile App,Beauty,Product14,3,966,2898,No,3,3
159,2024-04-18,1643,Hyderabad,South,Other,Electronics,Product87,4,4141,16564,No,5,2
160,2024-10-18,1780,Mumbai,East,Social,Home,Product86,2,1025,2050,Yes,4,1
161,2024-06-18,1313,Mumbai,West,Social,Electronics,Product49,1,2620,2620,No,4,3
162,2024-10-16,1154,Mumbai,NE,Mobile App,Electronics,Product26,5,817,4085,Yes,6,1
163,2024-09-21,1790,Kolkata,West,Other,Home,Product70,3,4588,13764,No,4,1
164,2024-11-01,2523,Pune,NE,Other,Fashion,Product99,3,3251,9753,No,7,4
165,2024-01-07,1320,Delhi,NE,Website,Electronics,Product24,1,976,976,Yes,3,2
166,2024-02-22,2215,Bengaluru,North,Mobile App,Beauty,Product20,1,4491,4491,No,6,2
167,2024-03-17,1914,Mumbai,North,Social,Books,Product63,1,1016,1016,No,4,5
168,2024-01-01,1165,Hyderabad,East,Mobile App,Books,Product80,5,3377,16885,No,2,2
169,2024-12-10,1354,Bengaluru,East,Mobile App,Sports,Product88,2,2307,4614,No,4,3
170,2024-09-10,1721,Mumbai,East,Other,Home,Product90,3,845,2535,No,1,3
171,2024-02-19,2334,Hyderabad,West,Social,Fashion,Product31,3,4828,14484,No,3,1
172,2024-10-18,2148,Hyderabad,North,Social,Beauty,Product13,1,3561,3561,No,6,5
173,2024-04-21,1181,Mumbai,NE,Social,Fashion,Product95,5,4497,22485,No,5,4
174,2024-09-12,2699,Pune,West,Website,Home,Product29,3,441,1323,No,2,4
175,2024-01-10,2751,Bengaluru,North,Mobile App,Sports,Product42,1,3247,3247,Yes,3,3
176,2024-08-09,2229,Mumbai,NE,Social,Electronics,Product64,2,4506,9012,No,2,3
177,2024-02-19,2450,Hyderabad,North,Other,Electronics,Product43,3,2783,8349,No,7,3
178,2024-09-13,2082,Bengaluru,North,Social,Sports,Product67,2,2924,5848,No,7,2
179,2024-02-14,1051,Delhi,South,Mobile App,Sports,Product10,2,3339,6678,No,6,2
180,2024-07-13,2666,Mumbai,North,Mobile App,Home,Product16,4,2225,8900,No,4,2
181,2024-10-23,1411,Bengaluru,South,Mobile App,Electronics,Product54,3,3210,9630,No,5,5
182,2024-02-14,1064,Pune,South,Other,Electronics,Product85,1,3827,3827,No,3,3
183,2024-12-19,1414,Bengaluru,West,Social,Home,Product73,4,889,3556,No,1,2
184,2024-09-01,1712,Hyderabad,North,Website,Sports,Product58,2,2358,4716,No,4,5
185,2024-04-24,2322,Kolkata,West,Other,Electronics,Product1,2,1581,3162,No,5,4
186,2024-01-12,1125,Pune,South,Mobile App,Electronics,Product18,4,2877,11508,No,4,1
187,2024-02-05,2089,Hyderabad,North,Other,Sports,Product99,3,3510,10530,No,1,4
188,2024-03-07,2232,Bengaluru,South,Social,Electronics,Product65,3,3937,11811,No,2,2
189,2024-07-08,1919,Bengaluru,South,Website,Sports,Product70,5,4354,21770,No,6,5
190,2024-09-09,2797,Bengaluru,South,Website,Sports,Product33,3,2997,8991,No,1,3
191,2024-01-21,1254,Mumbai,South,Mobile App,Books,Product21,2,4740,9480,No,7,4
192,2024-10-26,2169,Bengaluru,North,Mobile App,Sports,Product72,2,1106,2212,No,1,3
193,2024-04-25,1821,Delhi,South,Other,Sports,Product45,5,3028,15140,No,7,5
194,2024-02-08,1264,Bengaluru,NE,Other,Electronics,Product69,4,3972,15888,No,3,5
195,2024-09-27,1568,Bengaluru,East,Social,Sports,Product51,1,1262,1262,No,5,1
196,2024-08-24,2638,Kolkata,East,Mobile App,Books,Product50,2,3106,6212,No,5,3
197,2024-09-16,1439,Kolkata,West,Mobile App,Sports,Product15,2,869,1738,No,6,4
198,2024-03-26,1186,Hyderabad,North,Other,Electronics,Product75,4,2393,9572,No,2,4
199,2024-08-20,1062,Delhi,NE,Other,Beauty,Product12,4,4656,18624,No,3,1
200,2024-12-22,2220,Mumbai,East,Mobile App,Fashion,Product91,1,2376,2376,Yes,2,4
201,2024-04-08,1999,Delhi,NE,Social,Home,Product71,3,1590,4770,No,3,1
202,2024-06-13,2233,Hyderabad,North,Website,Sports,Product77,4,2976,11904,Yes,5,2
203,2024-05-04,1097,Mumbai,North,Other,Electronics,Product32,5,1790,8950,No,6,5
204,2024-12-28,2780,Kolkata,West,Social,Sports,Product52,5,1045,5225,Yes,2,3
205,2024-05-25,2520,Mumbai,South,Social,Home,Product21,4,2088,8352,No,6,2
206,2024-12-16,1504,Bengaluru,South,Other,Fashion,Product88,3,363,1089,No,2,1
207,2024-09-01,1782,Bengaluru,North,Other,Electronics,Product84,3,3789,11367,No,1,5
208,2024-05-25,1720,Pune,NE,Mobile App,Books,Product17,2,3441,6882,No,3,5
209,2024-08-25,2402,Hyderabad,NE,Social,Sports,Product4,2,928,1856,No,7,3
210,2024-11-02,1243,Mumbai,South,Mobile App,Electronics,Product37,5,3218,16090,No,1,2
211,2024-06-03,1080,Mumbai,South,Social,Beauty,Product5,3,2548,7644,No,4,2
212,2024-11-25,1087,Kolkata,South,Social,Fashion,Product91,5,2197,10985,No,3,3
213,2024-11-25,2909,Mumbai,West,Website,Sports,Product77,3,1620,4860,No,1,5
214,2024-05-14,1341,Pune,NE,Social,Beauty,Product64,1,1628,1628,No,2,2
215,2024-11-13,1030,Pune,South,Social,Sports,Product22,2,3655,7310,No,1,3
216,2024-01-06,1845,Bengaluru,North,Other,Electronics,Product6,5,2724,13620,Yes,2,1
217,2024-01-17,1445,Hyderabad,West,Other,Sports,Product86,4,2878,11512,No,6,4
218,2024-11-17,2014,Delhi,North,Mobile App,Sports,Product94,4,4654,18616,No,2,4
219,2024-02-22,2124,Mumbai,NE,Website,Home,Product60,4,3133,12532,No,6,3
220,2024-11-01,1846,Kolkata,West,Social,Sports,Product21,3,4514,13542,Yes,1,4
221,2024-09-19,2497,Bengaluru,South,Mobile App,Fashion,Product20,5,1005,5025,No,4,5
222,2024-11-20,2394,Bengaluru,NE,Other,Fashion,Product82,4,3504,14016,Yes,6,2
223,2024-08-27,2928,Bengaluru,North,Social,Home,Product63,3,2809,8427,No,4,5
224,2024-12-12,2061,Pune,East,Mobile App,Sports,Product50,4,3844,15376,No,2,3
225,2024-01-06,2060,Hyderabad,NE,Social,Sports,Product54,5,3079,15395,No,4,2
226,2024-10-28,2987,Delhi,North,Other,Home,Product50,4,3688,14752,No,4,4
227,2024-09-25,1134,Pune,North,Mobile App,Fashion,Product31,5,3774,18870,No,3,3
228,2024-10-28,1703,Pune,South,Social,Books,Product15,5,1634,8170,No,4,1
229,2024-04-14,1199,Bengaluru,South,Website,Books,Product80,5,2547,12735,No,6,1
230,2024-07-28,1549,Mumbai,North,Website,Books,Product14,5,4841,24205,No,3,3
231,2024-11-28,1303,Mumbai,North,Website,Home,Product65,4,4345,17380,No,4,4
232,2024-04-15,2324,Kolkata,North,Website,Books,Product73,3,2741,8223,No,7,3
233,2024-09-22,2108,Hyderabad,North,Website,Beauty,Product7,1,3652,3652,Yes,7,5
234,2024-07-09,2870,Pune,East,Other,Home,Product8,3,859,2577,No,3,3
235,2024-06-26,2453,Mumbai,South,Social,Sports,Product12,3,1588,4764,No,7,5
236,2024-12-22,1342,Kolkata,West,Mobile App,Home,Product96,4,3339,13356,No,2,1
237,2024-10-23,2232,Pune,East,Mobile App,Books,Product24,1,3954,3954,No,7,3
238,2024-05-11,2833,Kolkata,NE,Website,Sports,Product76,2,3879,7758,No,6,4
239,2024-02-08,1227,Delhi,West,Social,Home,Product30,3,2842,8526,No,7,2
240,2024-05-14,1057,Delhi,East,Other,Books,Product52,1,3616,3616,No,5,5
241,2024-11-09,2939,Mumbai,NE,Other,Sports,Product40,5,4461,22305,No,6,3
242,2024-12-08,2000,Kolkata,North,Mobile App,Electronics,Product21,1,2212,2212,Yes,4,4
243,2024-03-09,1026,Bengaluru,South,Social,Sports,Product15,5,3049,15245,No,5,1
244,2024-06-19,2090,Hyderabad,North,Social,Electronics,Product83,2,3650,7300,No,7,2
245,2024-02-07,3000,Mumbai,NE,Social,Sports,Product80,4,745,2980,No,5,2
246,2024-11-08,2585,Kolkata,West,Other,Home,Product32,3,4496,13488,No,5,1
247,2024-09-14,2089,Kolkata,NE,Social,Beauty,Product11,4,2270,9080,No,3,5
248,2024-01-01,1809,Hyderabad,North,Website,Books,Product67,5,2200,11000,No,6,4
249,2024-09-21,1157,Hyderabad,West,Website,Home,Product22,3,4871,14613,No,2,4
250,2024-07-15,2728,Hyderabad,West,Social,Beauty,Product97,3,898,2694,No,3,2
251,2024-10-12,1627,Hyderabad,South,Website,Home,Product100,4,305,1220,Yes,3,4
252,2024-02-08,2676,Pune,South,Social,Sports,Product16,4,3653,14612,No,4,1
253,2024-08-21,2610,Pune,West,Website,Home,Product47,2,2012,4024,No,4,3
254,2024-12-24,2366,Kolkata,West,Social,Electronics,Product55,5,2332,11660,No,6,4
255,2024-11-13,2492,Mumbai,West,Website,Beauty,Product93,1,4116,4116,No,4,1
256,2024-08-04,2521,Mumbai,East,Mobile App,Electronics,Product89,3,3806,11418,No,1,2
257,2024-03-13,2902,Kolkata,South,Other,Sports,Product72,5,1464,7320,No,4,4
258,2024-10-23,1816,Pune,East,Social,Fashion,Product55,4,4393,17572,Yes,5,5
259,2024-03-10,2508,Delhi,South,Mobile App,Sports,Product55,5,2633,13165,No,6,4
260,2024-09-16,2322,Mumbai,West,Mobile App,Electronics,Product74,1,230,230,No,1,4
261,2024-11-14,2150,Bengaluru,South,Other,Sports,Product80,1,1926,1926,No,7,5
262,2024-03-20,1657,Pune,North,Website,Electronics,Product36,4,2101,8404,No,7,1
263,2024-07-22,2631,Delhi,South,Social,Sports,Product87,1,2608,2608,No,7,4
264,2024-07-21,1942,Kolkata,West,Mobile App,Electronics,Product35,3,3664,10992,No,3,3
265,2024-01-25,1384,Kolkata,East,Website,Electronics,Product24,4,4677,18708,No,4,3
266,2024-05-17,2229,Hyderabad,North,Website,Books,Product87,5,4900,24500,No,1,3
267,2024-09-01,1903,Delhi,East,Website,Electronics,Product63,2,2443,4886,No,4,4
268,2024-06-15,1087,Bengaluru,North,Mobile App,Fashion,Product30,5,3867,19335,No,4,1
269,2024-08-13,2302,Kolkata,NE,Mobile App,Fashion,Product35,3,4115,12345,No,1,4
270,2024-01-15,2976,Hyderabad,East,Mobile App,Home,Product23,4,4357,17428,No,3,2
271,2024-11-10,2761,Bengaluru,East,Mobile App,Beauty,Product52,5,4022,20110,No,1,3
272,2024-08-07,2242,Mumbai,NE,Mobile App,Electronics,Product72,5,233,1165,No,6,2
273,2024-07-25,1412,Delhi,South,Other,Beauty,Product19,3,4039,12117,No,3,2
274,2024-05-28,2533,Mumbai,North,Website,Electronics,Product9,2,4101,8202,No,4,5
275,2024-03-26,2892,Hyderabad,West,Mobile App,Sports,Product65,1,1164,1164,No,5,2
276,2024-05-12,2647,Mumbai,West,Social,Sports,Product84,3,3850,11550,No,2,2
277,2024-02-20,1739,Kolkata,West,Website,Home,Product69,5,2084,10420,Yes,7,5
278,2024-07-05,2479,Kolkata,NE,Website,Beauty,Product69,4,4680,18720,No,1,5
279,2024-04-20,1311,Mumbai,South,Other,Home,Product33,1,3582,3582,No,7,3
280,2024-05-20,1217,Delhi,NE,Mobile App,Fashion,Product51,1,3406,3406,No,5,3
281,2024-03-02,1298,Hyderabad,East,Social,Sports,Product27,2,2580,5160,No,5,2
282,2024-02-26,2588,Bengaluru,South,Social,Sports,Product12,3,3348,10044,No,4,1
283,2024-05-09,1989,Delhi,North,Other,Books,Product31,5,3975,19875,No,6,1
284,2024-06-27,1634,Mumbai,East,Website,Sports,Product12,3,4454,13362,No,1,4
285,2024-09-12,1833,Kolkata,East,Website,Electronics,Product96,3,4326,12978,No,3,1
286,2024-10-09,2810,Kolkata,East,Social,Electronics,Product43,3,2166,6498,No,1,3
287,2024-10-10,1311,Pune,East,Other,Books,Product10,1,3820,3820,No,6,1
288,2024-05-19,2474,Hyderabad,East,Mobile App,Electronics,Product18,1,4461,4461,No,5,1
289,2024-09-05,1501,Mumbai,NE,Mobile App,Books,Product82,5,3616,18080,Yes,4,5
290,2024-06-15,1199,Hyderabad,West,Social,Fashion,Product20,5,2405,12025,No,3,4
291,2024-09-05,1302,Hyderabad,South,Other,Fashion,Product16,3,4485,13455,No,6,3
292,2024-10-19,2981,Kolkata,North,Social,Sports,Product54,5,4202,21010,No,6,4
293,2024-02-19,1885,Kolkata,East,Website,Electronics,Product76,4,3486,13944,No,1,5
294,2024-06-05,2565,Hyderabad,North,Other,Sports,Product71,4,3463,13852,No,7,3
295,2024-09-22,2641,Bengaluru,North,Website,Electronics,Product83,5,3492,17460,No,2,5
296,2024-08-10,1465,Hyderabad,NE,Mobile App,Books,Product74,4,550,2200,No,4,4
297,2024-11-19,1857,Hyderabad,South,Other,Beauty,Product61,4,2994,11976,No,4,5
298,2024-11-23,2484,Pune,NE,Website,Home,Product27,5,2974,14870,No,4,4
299,2024-10-06,2928,Kolkata,East,Mobile App,Home,Product69,2,3952,7904,No,4,3
300,2024-03-07,2882,Pune,South,Other,Sports,Product51,5,4753,23765,No,2,3
301,2024-07-26,2123,Hyderabad,East,Other,Electronics,Product94,1,3389,3389,No,2,1
